scaled_x,scaled_y,scaled_z,U_profile,V_profile,W_profile,P_profile
0.6134151,0.73297226,0.14921807,-0.0030461876,10.001116,-8.375442,-0.0043724533
0.14208682,-0.37318873,0.50453645,-0.0031885458,10.000567,-8.37477,-0.10822686
-0.6029401,-0.41960016,0.24963231,-0.0028695045,10.003288,-8.378155,0.1832059
-0.0137945125,0.17286928,0.21751973,-0.0031133825,9.986619,-8.361116,0.1160332
-0.016767079,0.6659492,0.19687803,-0.0033370005,10.000779,-8.375138,-0.020179668
-0.51039493,-0.67991555,0.715053,-0.0028955555,10.002636,-8.377346,0.43714905
-0.13261425,-0.51975656,0.82822496,-0.0028967867,10.001158,-8.375638,0.040345863
0.034912974,-0.012642401,0.96088,-0.002964572,9.994082,-8.368561,-0.008279098
-0.4138491,-0.005824969,0.6755424,-0.0029332591,10.001151,-8.375756,0.3580006
0.85239804,0.28403133,0.55718106,-0.0027766386,10.001228,-8.375755,-0.054770805
0.7300766,0.041304868,0.58311486,-0.0028619794,9.997029,-8.371449,-0.08462293
0.024685426,0.11313756,0.68162566,-0.0028860355,9.982209,-8.356708,0.06940483
-0.1372385,0.15418324,0.16032441,-0.002752318,10.017632,-8.392717,0.17261994
-0.15152504,0.1970359,0.00182196,-0.0030319514,10.031124,-8.406285,-0.0256849
-0.38449916,-0.8278208,0.04377798,-0.0034312094,10.003141,-8.37694,0.23437259
-0.3510226,0.72367287,0.87064624,-0.0031854762,10.001839,-8.376407,0.09650751
0.532172,-0.28905055,0.07955808,-0.0030663582,10.002107,-8.376335,-0.095280394
0.8986031,0.22542164,0.57585406,-0.0028629089,10.00139,-8.375825,-0.057956167
0.2401526,0.68271434,0.43560508,-0.0027982993,10.000502,-8.375308,0.02307274
0.4214434,-0.77664185,0.7904516,-0.0028911205,10.002069,-8.37645,-0.12225909
0.75249064,-0.17973617,0.72026694,-0.0026995903,10.000579,-8.375159,-0.12640159
-0.8384597,0.27324942,0.20896256,-0.0028214687,10.0034485,-8.37872,-0.3733869
-0.566704,-0.6423469,0.3402084,-0.003250136,10.00233,-8.376785,0.37199143
-0.3691089,-0.6489631,0.47289658,-0.0026928997,10.002583,-8.377383,0.37952882
-0.7757582,0.5391575,0.34351614,-0.0030066883,10.00175,-8.37643,-0.4106268
-0.21509863,0.21329518,0.16190131,-0.0029388582,10.030195,-8.405288,0.105488345
-0.52512807,-0.5759234,0.9205496,-0.0031655682,10.008257,-8.382892,0.37771553
0.31861046,-0.10336712,0.7311079,-0.00287187,9.99702,-8.371543,-0.09751699
-0.16967927,0.56814295,0.4872767,-0.002994093,10.003072,-8.377711,0.06663554
0.89031756,-0.3494864,0.314492,-0.0032317033,10.001733,-8.375705,-0.049443495
-0.5072715,0.53101563,0.76835686,-0.0030637374,10.007374,-8.382125,0.1576412
-0.12432932,0.20661168,0.87794757,-0.0028790636,9.990183,-8.364813,0.10451618
-0.0042627743,-0.0053595607,0.8737543,-0.0029400634,9.990617,-8.365069,0.024597215
0.10748586,-0.14676121,0.57552016,-0.0029234858,9.992809,-8.367331,-0.03994554
0.54151183,-0.6281701,0.005888641,-0.0028557582,10.0060425,-8.3808565,-0.117517106
-0.3518258,0.5433346,0.11999717,-0.0021769116,10.00331,-8.37875,-0.34581852
